"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/27/2024 01:12:56:877 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","mean [age] of turtles"
"306","6","1","1.1","no-visualization","500","300","1.898","4","0.4554163150333155","34.116"
"309","9","1","1.1","no-visualization","500","300","2.288","4","0.4454092107189925","32.044"
"307","7","1","1.1","no-visualization","500","300","2.052","4","0.45569254693636674","36.036"
"310","10","1","1.1","no-visualization","500","300","2.256","4","0.4534145444727214","31.954"
"308","8","1","1.1","no-visualization","500","300","2.158","4","0.4614129112590392","31.67"
"272","2","1","0.8","no-visualization","500","300","1.494","4","0.3752888714087728","45.106"
"312","2","1","1.2","no-visualization","500","300","1.478","4","0.3664066950471011","41.806"
"315","5","1","1.2","no-visualization","500","300","1.894","4","0.4562642330840982","33.852"
"311","1","1","1.2","no-visualization","500","300","1","4","0.30373911675550713","42.562"
"313","3","1","1.2","no-visualization","500","300","1.652","4","0.41741166496794657","37.688"
"316","6","1","1.2","no-visualization","500","300","1.994","4","0.44933104551770586","33.662"
"278","8","1","0.8","no-visualization","500","300","2.192","4","0.47039911716912014","31.058"
"319","9","1","1.2","no-visualization","500","300","2.27","4","0.480375925133036","32.226"
"317","7","1","1.2","no-visualization","500","300","2.082","4","0.46941475743809324","31.902"
"318","8","1","1.2","no-visualization","500","300","2.106","4","0.4678487370808658","32.162"
"321","1","1","1.3","no-visualization","500","300","1","4","0.31187630562351143","43.68"
"291","1","1","1","no-visualization","500","300","1","4","0.3137537957002302","42.956"
