"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"186","6","1","1.9","no-visualization","500","300","500","2.278","3.73","0.5139701069030644","true"
"187","7","1","1.9","no-visualization","500","300","500","2.27","3.616","0.49741458968696317","true"
"189","9","1","1.9","no-visualization","500","300","500","2.44","3.742","0.5027710765916036","true"
"190","10","1","1.9","no-visualization","500","300","500","2.516","3.906","0.4925906456798891","true"
"191","1","1","2","no-visualization","500","300","500","1","3.536","0.38633013636688196","true"
"192","2","1","2","no-visualization","500","300","500","1.464","3.72","0.40046244292237404","true"
"193","3","1","2","no-visualization","500","300","500","1.856","3.81","0.4409344622138604","true"
"194","4","1","2","no-visualization","500","300","500","2.022","3.796","0.49453895824365035","true"
"195","5","1","2","no-visualization","500","300","500","2.046","3.65","0.5051626545217958","true"
"196","6","1","2","no-visualization","500","300","500","2.138","3.852","0.5011898309351008","true"
"197","7","1","2","no-visualization","500","300","500","2.226","3.724","0.4969176766316543","true"
"198","8","1","2","no-visualization","500","300","500","2.346","3.832","0.5047144248649599","true"
"199","9","1","2","no-visualization","500","300","500","2.4","3.832","0.5058269230769228","true"
"200","10","1","2","no-visualization","500","300","500","2.594","3.772","0.525935164679828","true"
"201","1","1","0.1","no-visualization","500","300","500","1","3.622","0.38821605009589405","true"
"202","2","1","0.1","no-visualization","500","300","500","1.256","3.62","0.3895739122837673","true"
"203","3","1","0.1","no-visualization","500","300","500","1.52","3.464","0.36196730171598435","true"
"204","4","1","0.1","no-visualization","500","300","500","1.808","3.578","0.38607246118150945","true"
"205","5","1","0.1","no-visualization","500","300","500","1.942","3.592","0.3756289227874472","true"
"206","6","1","0.1","no-visualization","500","300","500","2.3","3.534","0.39906817069475814","true"
"208","8","1","0.1","no-visualization","500","300","500","2.696","3.584","0.3845743293159126","true"
"207","7","1","0.1","no-visualization","500","300","500","2.576","3.652","0.3742033177001909","true"
"209","9","1","0.1","no-visualization","500","300","500","2.91","3.44","0.38003564013840857","true"
"210","10","1","0.1","no-visualization","500","300","500","3.102","3.546","0.3951521116988985","true"
"213","3","1","0.2","no-visualization","500","300","500","1.322","3.694","0.34674798067946566","true"
"211","1","1","0.2","no-visualization","500","300","500","1","3.76","0.3343161042944781","true"
"212","2","1","0.2","no-visualization","500","300","500","1.162","3.57","0.3454150228506704","true"
"214","4","1","0.2","no-visualization","500","300","500","1.476","3.844","0.3481378145981389","true"
"215","5","1","0.2","no-visualization","500","300","500","1.6","3.598","0.33849724699495964","true"
"217","7","1","0.2","no-visualization","500","300","500","2.106","3.88","0.3544588664030395","true"
"216","6","1","0.2","no-visualization","500","300","500","1.614","3.724","0.3466279336442171","true"
"218","8","1","0.2","no-visualization","500","300","500","1.928","3.788","0.357499378832205","true"
"219","9","1","0.2","no-visualization","500","300","500","2.252","3.614","0.32791776764488134","true"
"221","1","1","0.3","no-visualization","500","300","500","1","3.6","0.2200159576523319","true"
"223","3","1","0.3","no-visualization","500","300","500","1.316","3.636","0.2984156793717419","true"
"220","10","1","0.2","no-visualization","500","300","500","2.438","3.688","0.36455410170022706","true"
"222","2","1","0.3","no-visualization","500","300","500","1.144","3.588","0.27069398408214623","true"
"224","4","1","0.3","no-visualization","500","300","500","1.494","3.66","0.32344093649400013","true"
"225","5","1","0.3","no-visualization","500","300","500","1.602","3.624","0.3304834012244798","true"
"226","6","1","0.3","no-visualization","500","300","500","1.776","3.566","0.31911977729363344","true"
"227","7","1","0.3","no-visualization","500","300","500","1.84","3.624","0.32007793924941236","true"
"228","8","1","0.3","no-visualization","500","300","500","1.944","3.644","0.31619235746551133","true"
"229","9","1","0.3","no-visualization","500","300","500","2.1","3.618","0.334602863382674","true"
"231","1","1","0.4","no-visualization","500","300","500","1","3.588","0.2288406010490751","true"
"232","2","1","0.4","no-visualization","500","300","500","1.202","3.722","0.32649182266009874","true"
"230","10","1","0.3","no-visualization","500","300","500","2.09","3.564","0.32794547504599114","true"
"233","3","1","0.4","no-visualization","500","300","500","1.382","3.612","0.355122148751858","true"
"234","4","1","0.4","no-visualization","500","300","500","1.512","3.51","0.3524196947114147","true"
"235","5","1","0.4","no-visualization","500","300","500","1.556","3.74","0.34834546868372646","true"
"236","6","1","0.4","no-visualization","500","300","500","1.82","3.648","0.38195180451973193","true"
"237","7","1","0.4","no-visualization","500","300","500","1.88","3.638","0.4084402400977912","true"
"238","8","1","0.4","no-visualization","500","300","500","2.098","3.558","0.38674053070217457","true"
"239","9","1","0.4","no-visualization","500","300","500","2.31","3.642","0.3840943407337614","true"
