"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/25/2024 22:08:12:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"256","6","1","0.5","no-visualization","500","300","500","1.868","3.59","0.45695907427261634","true"
"259","9","1","0.5","no-visualization","500","300","500","2.184","3.698","0.46717840172786207","true"
"261","1","1","0.75","no-visualization","500","300","500","1","3.556","0.2596132700581006","true"
"262","2","1","0.75","no-visualization","500","300","500","1.516","3.75","0.41084847833389315","true"
"260","10","1","0.5","no-visualization","500","300","500","2.196","3.618","0.4553099925923042","true"
"258","8","1","0.5","no-visualization","500","300","500","2.068","3.672","0.4587353455485441","true"
"263","3","1","0.75","no-visualization","500","300","500","1.616","3.66","0.4445139842912212","true"
"264","4","1","0.75","no-visualization","500","300","500","1.712","3.654","0.44913545614611017","true"
"266","6","1","0.75","no-visualization","500","300","500","2.022","3.636","0.4792293596124055","true"
"267","7","1","0.75","no-visualization","500","300","500","2","3.58","0.46579832899340196","true"
"265","5","1","0.75","no-visualization","500","300","500","1.826","3.678","0.4477579796781592","true"
"268","8","1","0.75","no-visualization","500","300","500","2.034","3.702","0.4584619098376072","true"
"269","9","1","0.75","no-visualization","500","300","500","2.184","3.636","0.45606804072510565","true"
"270","10","1","0.75","no-visualization","500","300","500","2.302","3.76","0.46695720541401275","true"
"272","2","1","1","no-visualization","500","300","500","1.458","3.618","0.3802253739250926","true"
"274","4","1","1","no-visualization","500","300","500","1.794","3.646","0.4778505112474435","true"
"273","3","1","1","no-visualization","500","300","500","1.706","3.676","0.4562623216273655","true"
"271","1","1","1","no-visualization","500","300","500","1","3.476","0.3332137370085859","true"
"275","5","1","1","no-visualization","500","300","500","1.924","3.71","0.48729702073229225","true"
"277","7","1","1","no-visualization","500","300","500","2.176","3.666","0.475735443486477","true"
"276","6","1","1","no-visualization","500","300","500","1.936","3.612","0.45879962063333196","true"
"279","9","1","1","no-visualization","500","300","500","2.248","3.61","0.47637049935979553","true"
"282","2","1","1.25","no-visualization","500","300","500","1.484","3.736","0.3827382647229856","true"
"281","1","1","1.25","no-visualization","500","300","500","1","3.61","0.32834492356352113","true"
"280","10","1","1","no-visualization","500","300","500","2.486","3.64","0.4930616453223353","true"
"278","8","1","1","no-visualization","500","300","500","2.11","3.732","0.4711469065688295","true"
"283","3","1","1.25","no-visualization","500","300","500","1.684","3.72","0.4565278249026302","true"
